Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
5,3,1,2,no,yes,machine learning,testing,poor,excellent,Management,security,BPA,no,Technical,hard worker,yes,yes,Software Engineer
3,0,9,9,no,no,python,testing,excellent,poor,parallel computing,developer,Web Services,no,Technical,smart worker,no,no,Software Engineer
4,5,9,6,no,no,full stack,database security,poor,excellent,Management,system developer,Service Based,no,Technical,hard worker,yes,yes,Software Engineer
7,3,9,1,no,no,r programming,database security,poor,medium,parallel computing,system developer,BPA,yes,Technical,smart worker,no,no,Software Engineer
1,6,6,8,yes,yes,app development,database security,poor,excellent,programming,developer,Web Services,yes,Technical,hard worker,no,no,Software Engineer
5,2,2,8,no,no,machine learning,hacking,poor,medium,parallel computing,Business process analyst,Product based,yes,Technical,hard worker,yes,no,Software Engineer
3,2,9,2,no,yes,full stack,testing,medium,excellent,IOT,developer,SAaS services,no,Management,hard worker,no,yes,Software Engineer
3,1,5,4,no,yes,app development,hacking,poor,medium,networks,developer,Finance,no,Management,smart worker,no,yes,Software Engineer
7,3,4,2,no,no,machine learning,cloud computing,poor,poor,IOT,cloud computing,Finance,no,Technical,hard worker,no,no,Software Engineer
9,1,5,2,no,no,python,web technologies,excellent,poor,programming,security,product development,no,Management,smart worker,no,no,Software Engineer
2,1,8,6,yes,yes,information security,web technologies,medium,medium,parallel computing,cloud computing,Testing and Maintainance Services,yes,Technical,smart worker,yes,yes,Software Engineer
8,0,1,2,yes,yes,shell programming,web technologies,excellent,excellent,IOT,developer,Finance,yes,Technical,hard worker,no,no,Software Engineer
7,3,8,5,no,yes,information security,game development,excellent,poor,networks,Business process analyst,Finance,yes,Technical,hard worker,no,yes,Software Engineer
9,4,7,9,no,no,r programming,hacking,excellent,excellent,Management,testing,product development,yes,Technical,smart worker,no,yes,Software Engineer
2,1,6,6,no,yes,machine learning,database security,poor,poor,Computer Architecture,developer,Service Based,no,Technical,smart worker,no,yes,Software Engineer
6,6,6,6,no,no,full stack,testing,medium,excellent,programming,cloud computing,Web Services,yes,Management,hard worker,yes,yes,Software Engineer
1,3,1,7,no,yes,distro making,web technologies,poor,excellent,IOT,Business process analyst,Service Based,no,Management,hard worker,no,no,Software Engineer
5,3,4,4,no,no,information security,hacking,poor,medium,hacking,Business process analyst,Web Services,yes,Technical,hard worker,yes,yes,Software Engineer
2,2,9,7,no,no,app development,game development,excellent,poor,programming,Business process analyst,product development,no,Management,smart worker,no,yes,Software Engineer
2,1,3,7,no,yes,python,data science,poor,medium,data engineering,cloud computing,Finance,yes,Management,hard worker,yes,yes,Software Engineer
9,6,1,4,no,no,python,system designing,poor,poor,parallel computing,system developer,Testing and Maintainance Services,yes,Management,hard worker,no,no,Software Engineer
6,6,4,5,yes,yes,r programming,system designing,poor,medium,Computer Architecture,Business process analyst,Product based,yes,Management,hard worker,no,yes,Software Engineer
6,4,1,7,no,yes,python,web technologies,medium,medium,IOT,testing,Service Based,yes,Technical,hard worker,yes,yes,Software Engineer
7,1,3,4,no,no,information security,game development,excellent,excellent,programming,cloud computing,Product based,yes,Technical,smart worker,yes,yes,Software Engineer
3,1,6,3,no,no,full stack,system designing,medium,poor,programming,security,Cloud Services,yes,Management,hard worker,yes,yes,Software Engineer
1,0,1,7,yes,no,shell programming,testing,excellent,poor,networks,Business process analyst,Finance,yes,Technical,smart worker,no,yes,Software Engineer
6,5,8,1,yes,no,machine learning,system designing,excellent,poor,Computer Architecture,Business process analyst,Testing and Maintainance Services,no,Technical,hard worker,no,yes,Software Engineer
4,4,2,8,no,yes,shell programming,cloud computing,medium,excellent,IOT,Business process analyst,SAaS services,yes,Technical,smart worker,yes,no,Software Engineer
3,5,9,8,yes,no,full stack,web technologies,medium,excellent,hacking,testing,BPA,yes,Technical,hard worker,no,yes,Software Engineer
9,1,9,8,no,no,python,game development,poor,excellent,data engineering,security,product development,yes,Management,smart worker,no,no,Software Engineer
2,6,2,8,yes,yes,python,hacking,poor,medium,networks,security,Web Services,no,Technical,hard worker,yes,no,Software Engineer
5,3,9,2,no,yes,distro making,system designing,medium,medium,Software Engineering,Business process analyst,product development,no,Technical,smart worker,no,no,Software Engineer
9,6,3,3,no,no,distro making,game development,poor,excellent,programming,system developer,Product based,yes,Management,hard worker,yes,yes,Software Engineer
4,0,2,2,yes,no,full stack,database security,poor,excellent,parallel computing,security,BPA,yes,Management,smart worker,no,yes,Software Engineer
7,1,4,1,yes,no,python,database security,excellent,medium,hacking,cloud computing,product development,yes,Technical,smart worker,no,no,Software Engineer
9,0,8,9,no,yes,distro making,cloud computing,medium,medium,data engineering,testing,Web Services,no,Technical,smart worker,yes,yes,Software Engineer
1,6,4,6,yes,yes,machine learning,hacking,medium,excellent,networks,system developer,product development,yes,Management,smart worker,no,yes,Software Engineer
4,2,9,7,yes,no,app development,data science,medium,excellent,IOT,security,Cloud Services,no,Management,smart worker,yes,no,Software Engineer
3,1,6,7,yes,no,full stack,cloud computing,medium,poor,IOT,cloud computing,Service Based,no,Technical,hard worker,no,yes,Software Engineer
4,5,6,6,yes,yes,python,web technologies,poor,poor,cloud computing,cloud computing,Cloud Services,no,Technical,hard worker,yes,yes,Software Engineer
4,5,4,4,no,no,app development,system designing,medium,excellent,IOT,testing,Cloud Services,yes,Management,hard worker,no,yes,Software Engineer
2,2,7,7,yes,yes,hadoop,game development,excellent,medium,parallel computing,security,SAaS services,yes,Management,smart worker,no,no,Software Engineer
3,6,9,5,no,yes,shell programming,testing,medium,medium,programming,testing,Service Based,no,Technical,hard worker,yes,yes,Software Engineer
5,0,7,3,no,no,hadoop,database security,excellent,poor,cloud computing,Business process analyst,Sales and Marketing,no,Technical,smart worker,no,yes,Software Engineer
6,6,9,8,no,yes,machine learning,web technologies,poor,medium,Software Engineering,security,Product based,no,Management,smart worker,no,yes,Software Engineer
2,0,3,2,yes,no,full stack,database security,excellent,poor,hacking,developer,Sales and Marketing,yes,Management,smart worker,no,yes,Software Engineer
1,3,1,1,no,yes,machine learning,data science,excellent,medium,cloud computing,security,product development,yes,Technical,hard worker,yes,no,Software Engineer
6,6,3,4,yes,no,machine learning,data science,excellent,poor,programming,developer,product development,no,Management,hard worker,yes,no,Software Engineer
3,6,8,6,yes,yes,information security,system designing,poor,excellent,Computer Architecture,cloud computing,Finance,no,Management,hard worker,yes,no,Software Engineer
5,4,6,9,no,yes,app development,cloud computing,excellent,medium,Computer Architecture,security,SAaS services,yes,Management,hard worker,no,no,Software Engineer
9,0,1,5,no,no,r programming,data science,poor,excellent,Computer Architecture,security,Product based,yes,Management,hard worker,yes,no,Software Engineer
2,0,7,2,no,no,python,cloud computing,excellent,medium,programming,developer,SAaS services,no,Management,hard worker,yes,yes,Software Engineer
2,4,2,9,yes,no,full stack,system designing,medium,poor,cloud computing,system developer,Finance,yes,Management,hard worker,no,no,Software Engineer
8,3,3,4,yes,yes,r programming,cloud computing,excellent,excellent,parallel computing,testing,Testing and Maintainance Services,yes,Technical,hard worker,yes,yes,Software Engineer
9,5,9,3,yes,yes,r programming,testing,medium,poor,cloud computing,security,Web Services,no,Management,hard worker,yes,yes,Software Engineer
6,6,2,4,no,yes,r programming,game development,medium,poor,hacking,system developer,Cloud Services,no,Management,smart worker,no,yes,Software Engineer
3,1,4,3,yes,yes,full stack,database security,medium,poor,Computer Architecture,cloud computing,Web Services,no,Management,hard worker,yes,yes,Software Engineer
3,5,4,8,yes,no,shell programming,cloud computing,poor,medium,data engineering,testing,SAaS services,no,Management,smart worker,yes,yes,Software Engineer
5,6,9,6,yes,no,hadoop,web technologies,medium,excellent,programming,system developer,BPA,no,Management,smart worker,yes,yes,Software Engineer
5,4,2,8,yes,no,app development,cloud computing,medium,poor,Computer Architecture,Business process analyst,Sales and Marketing,no,Technical,smart worker,yes,no,Software Engineer
9,6,1,9,no,no,python,hacking,medium,excellent,Software Engineering,Business process analyst,Finance,no,Technical,hard worker,yes,no,Software Engineer
9,3,9,1,yes,yes,hadoop,web technologies,medium,excellent,Computer Architecture,Business process analyst,BPA,no,Management,smart worker,no,no,Software Engineer
4,1,8,6,no,yes,r programming,cloud computing,poor,medium,Computer Architecture,system developer,Product based,no,Technical,hard worker,yes,yes,Software Engineer
6,6,5,8,yes,yes,app development,testing,excellent,excellent,Software Engineering,testing,Service Based,no,Management,smart worker,no,yes,Software Engineer
7,2,9,7,no,no,full stack,testing,medium,poor,hacking,cloud computing,Finance,yes,Technical,smart worker,no,no,Software Engineer
3,3,1,8,yes,no,machine learning,data science,medium,excellent,Software Engineering,developer,Testing and Maintainance Services,yes,Technical,hard worker,yes,yes,Software Engineer
7,6,8,9,no,yes,r programming,data science,medium,excellent,cloud computing,security,BPA,yes,Management,hard worker,no,no,Software Engineer
7,6,2,4,yes,no,shell programming,data science,poor,medium,cloud computing,Business process analyst,product development,no,Technical,hard worker,no,no,Software Engineer
5,3,3,8,no,yes,machine learning,web technologies,poor,excellent,Software Engineering,cloud computing,SAaS services,yes,Technical,hard worker,no,yes,Software Engineer
8,2,8,2,yes,yes,information security,hacking,excellent,medium,Computer Architecture,system developer,product development,no,Technical,smart worker,no,yes,Software Engineer
7,1,9,6,no,no,shell programming,system designing,medium,excellent,data engineering,testing,Service Based,no,Technical,hard worker,no,yes,Software Engineer
7,2,2,2,no,yes,app development,hacking,excellent,poor,Computer Architecture,testing,Product based,yes,Management,hard worker,no,yes,Software Engineer
4,5,7,6,no,yes,hadoop,data science,medium,medium,programming,security,Cloud Services,yes,Management,hard worker,no,yes,Software Engineer
8,2,6,2,yes,yes,r programming,database security,poor,poor,IOT,developer,Sales and Marketing,yes,Technical,hard worker,no,yes,Software Engineer
5,1,9,5,yes,no,information security,database security,medium,excellent,IOT,Business process analyst,SAaS services,no,Technical,hard worker,yes,no,Software Engineer
8,5,9,6,yes,no,full stack,data science,excellent,poor,parallel computing,testing,SAaS services,no,Management,hard worker,no,no,Software Engineer
5,4,2,9,yes,no,distro making,cloud computing,excellent,medium,programming,Business process analyst,BPA,no,Management,hard worker,yes,no,Software Engineer
4,3,2,7,yes,yes,hadoop,testing,excellent,poor,Computer Architecture,cloud computing,Product based,no,Technical,hard worker,no,no,Software Engineer
8,3,2,3,yes,no,information security,web technologies,excellent,medium,networks,system developer,product development,yes,Management,hard worker,yes,yes,Software Engineer
8,1,9,1,yes,yes,full stack,data science,medium,excellent,hacking,testing,BPA,yes,Management,smart worker,yes,yes,Software Engineer
2,3,9,5,no,yes,information security,database security,excellent,poor,IOT,security,Sales and Marketing,yes,Technical,smart worker,yes,no,Software Engineer
5,6,5,9,yes,no,r programming,system designing,poor,excellent,data engineering,testing,BPA,no,Management,hard worker,yes,no,Software Engineer
4,5,3,9,no,yes,app development,testing,excellent,poor,networks,testing,product development,no,Technical,smart worker,yes,no,Software Engineer
2,4,9,7,yes,no,full stack,web technologies,poor,poor,hacking,Business process analyst,Testing and Maintainance Services,no,Management,hard worker,yes,yes,Software Engineer
4,6,1,5,yes,no,r programming,data science,medium,excellent,hacking,security,Cloud Services,yes,Management,hard worker,no,no,Software Engineer
3,0,4,4,yes,no,app development,web technologies,excellent,excellent,Computer Architecture,system developer,Sales and Marketing,no,Management,smart worker,no,no,Software Engineer
6,6,7,1,yes,no,python,hacking,medium,excellent,data engineering,security,Web Services,yes,Technical,smart worker,no,yes,Software Engineer
4,4,7,5,no,no,shell programming,web technologies,excellent,medium,Management,testing,Web Services,no,Technical,hard worker,yes,no,Software Engineer
4,3,8,7,no,yes,machine learning,database security,poor,medium,IOT,Business process analyst,BPA,yes,Management,smart worker,no,no,Software Engineer
4,0,1,7,yes,yes,information security,hacking,poor,poor,Software Engineering,system developer,Sales and Marketing,yes,Technical,hard worker,no,no,Software Engineer
7,5,1,7,yes,yes,machine learning,testing,poor,medium,Software Engineering,Business process analyst,Sales and Marketing,no,Management,smart worker,yes,no,Software Engineer
6,2,1,8,yes,yes,distro making,data science,poor,excellent,programming,developer,Cloud Services,yes,Management,smart worker,yes,yes,Software Engineer
4,3,4,9,no,yes,python,testing,poor,excellent,Computer Architecture,cloud computing,Testing and Maintainance Services,no,Technical,hard worker,no,no,Software Engineer
7,5,4,1,yes,yes,python,game development,poor,excellent,networks,system developer,Cloud Services,yes,Technical,smart worker,yes,yes,Software Engineer
1,6,8,9,no,no,information security,testing,poor,poor,parallel computing,security,SAaS services,no,Technical,smart worker,yes,no,Software Engineer
4,1,6,5,no,no,shell programming,hacking,medium,poor,data engineering,developer,BPA,no,Management,smart worker,no,no,Software Engineer
9,3,5,5,yes,yes,information security,web technologies,excellent,medium,networks,developer,Web Services,no,Management,hard worker,yes,no,Software Engineer
5,6,4,7,yes,yes,machine learning,database security,medium,medium,Software Engineering,system developer,Sales and Marketing,no,Technical,smart worker,yes,no,Software Engineer
5,2,3,6,no,yes,information security,web technologies,poor,poor,parallel computing,security,Sales and Marketing,no,Technical,smart worker,yes,no,Software Engineer
7,2,6,3,no,no,full stack,hacking,excellent,excellent,Software Engineering,developer,product development,yes,Management,smart worker,no,yes,Software Engineer
5,5,9,8,no,yes,full stack,hacking,poor,medium,hacking,cloud computing,Finance,no,Management,smart worker,yes,yes,Software Engineer
1,3,5,7,yes,no,information security,web technologies,excellent,excellent,Management,cloud computing,Product based,no,Technical,smart worker,no,yes,Software Engineer
8,4,4,6,no,no,information security,system designing,poor,medium,Software Engineering,cloud computing,Product based,yes,Technical,smart worker,no,yes,Software Engineer
9,3,1,2,no,yes,full stack,game development,poor,excellent,hacking,testing,Cloud Services,yes,Management,hard worker,no,no,Software Engineer
6,6,2,2,yes,yes,app development,system designing,medium,poor,parallel computing,security,Web Services,yes,Technical,hard worker,no,no,Software Engineer
2,4,4,1,no,yes,python,system designing,medium,excellent,programming,testing,Product based,no,Technical,smart worker,yes,no,Software Engineer
7,0,4,5,yes,no,hadoop,game development,medium,excellent,parallel computing,Business process analyst,product development,no,Management,smart worker,no,no,Software Engineer
6,4,2,8,yes,no,machine learning,system designing,poor,excellent,IOT,testing,BPA,no,Technical,smart worker,yes,no,Software Engineer
3,0,8,1,yes,no,app development,cloud computing,poor,excellent,networks,developer,Cloud Services,yes,Management,smart worker,no,yes,Software Engineer
9,5,9,6,yes,no,python,database security,medium,excellent,Software Engineering,testing,Testing and Maintainance Services,yes,Technical,smart worker,yes,no,Software Engineer
9,2,4,7,no,no,python,data science,poor,poor,Software Engineering,security,Testing and Maintainance Services,yes,Management,hard worker,no,no,Software Engineer
5,1,3,2,yes,yes,shell programming,system designing,poor,poor,Software Engineering,developer,Finance,yes,Technical,smart worker,yes,no,Software Engineer
7,4,4,4,no,yes,distro making,data science,excellent,poor,Management,testing,SAaS services,no,Management,smart worker,yes,yes,Software Engineer
2,2,9,8,no,yes,python,cloud computing,medium,medium,programming,developer,product development,no,Management,smart worker,no,yes,Software Engineer
6,5,1,6,no,no,app development,database security,excellent,excellent,data engineering,system developer,SAaS services,yes,Technical,smart worker,yes,yes,Software Engineer
4,6,9,1,yes,yes,full stack,database security,medium,medium,data engineering,security,BPA,yes,Management,hard worker,yes,no,Software Engineer
8,6,8,4,no,no,full stack,cloud computing,poor,poor,Management,security,Testing and Maintainance Services,yes,Management,smart worker,yes,yes,Software Engineer
4,3,2,9,yes,yes,r programming,data science,poor,poor,programming,security,Cloud Services,yes,Technical,hard worker,yes,no,Software Engineer
6,3,9,7,yes,yes,python,hacking,poor,poor,programming,security,product development,no,Management,hard worker,no,no,Software Engineer
2,6,4,8,yes,no,r programming,cloud computing,poor,excellent,Software Engineering,testing,Sales and Marketing,no,Management,smart worker,no,no,Software Engineer
9,6,7,6,yes,yes,information security,database security,medium,medium,Software Engineering,system developer,Product based,yes,Management,hard worker,yes,no,Software Engineer
5,2,6,6,yes,no,r programming,game development,poor,medium,Computer Architecture,testing,Sales and Marketing,yes,Technical,smart worker,no,yes,Software Engineer
9,2,7,2,no,yes,app development,data science,poor,excellent,Computer Architecture,cloud computing,Service Based,yes,Management,smart worker,no,yes,Software Engineer
8,0,3,9,no,no,python,testing,medium,excellent,programming,testing,Testing and Maintainance Services,yes,Management,smart worker,yes,yes,Software Engineer
6,6,8,1,no,yes,information security,system designing,poor,medium,programming,cloud computing,Service Based,yes,Management,smart worker,no,no,Software Engineer
1,0,4,6,no,no,shell programming,system designing,medium,poor,Software Engineering,developer,Web Services,no,Technical,smart worker,no,no,Software Engineer
1,1,6,8,no,yes,hadoop,data science,medium,excellent,parallel computing,Business process analyst,Testing and Maintainance Services,yes,Management,smart worker,no,yes,Software Engineer
7,2,5,3,yes,yes,hadoop,web technologies,poor,excellent,hacking,cloud computing,product development,yes,Technical,hard worker,yes,yes,Software Engineer
1,4,3,7,no,yes,information security,web technologies,medium,medium,Computer Architecture,Business process analyst,Cloud Services,no,Management,smart worker,yes,yes,Software Engineer
7,5,2,9,yes,yes,machine learning,system designing,medium,poor,hacking,Business process analyst,Finance,no,Management,smart worker,yes,yes,Software Engineer
6,3,9,8,no,no,shell programming,web technologies,excellent,excellent,parallel computing,cloud computing,Service Based,yes,Management,hard worker,yes,no,Software Engineer
4,6,3,2,no,no,full stack,cloud computing,poor,excellent,Software Engineering,system developer,SAaS services,no,Technical,hard worker,no,yes,Software Engineer
2,3,7,4,no,yes,information security,database security,medium,poor,hacking,developer,Web Services,no,Management,smart worker,yes,yes,Software Engineer
4,6,3,5,no,no,hadoop,testing,medium,poor,networks,cloud computing,SAaS services,yes,Technical,smart worker,no,yes,Software Engineer
4,2,5,3,no,no,python,web technologies,medium,medium,cloud computing,security,Web Services,no,Technical,smart worker,no,yes,Software Engineer
1,0,9,2,no,no,python,game development,poor,medium,Management,testing,Cloud Services,no,Management,hard worker,no,no,Software Engineer
9,3,5,3,yes,no,app development,data science,excellent,excellent,Computer Architecture,security,BPA,yes,Management,smart worker,no,no,Software Engineer
5,5,3,3,no,yes,r programming,hacking,poor,excellent,hacking,developer,Finance,yes,Technical,smart worker,no,no,Software Engineer
1,4,5,1,yes,no,information security,database security,poor,poor,hacking,security,Testing and Maintainance Services,yes,Technical,smart worker,no,yes,Software Engineer
2,3,3,6,no,no,full stack,web technologies,excellent,excellent,cloud computing,security,Sales and Marketing,no,Management,hard worker,no,yes,Software Engineer
7,2,3,2,no,yes,r programming,game development,poor,excellent,programming,system developer,SAaS services,yes,Management,hard worker,no,yes,Software Engineer
5,3,2,2,no,yes,r programming,hacking,poor,excellent,cloud computing,developer,Sales and Marketing,yes,Management,smart worker,no,yes,Software Engineer
6,4,3,9,yes,no,app development,game development,excellent,poor,networks,testing,Product based,yes,Management,smart worker,no,yes,Software Engineer
5,5,8,1,no,no,machine learning,testing,medium,excellent,hacking,testing,Testing and Maintainance Services,no,Technical,smart worker,no,no,Software Engineer
8,2,8,4,no,no,full stack,testing,poor,poor,parallel computing,system developer,Service Based,no,Technical,hard worker,yes,yes,Software Engineer
3,5,5,8,no,yes,app development,hacking,excellent,medium,Management,system developer,BPA,yes,Technical,smart worker,no,yes,Software Engineer
4,0,6,7,yes,no,hadoop,database security,medium,poor,cloud computing,Business process analyst,Cloud Services,no,Management,hard worker,yes,no,Software Engineer
9,1,9,4,yes,yes,machine learning,testing,medium,excellent,Management,cloud computing,Cloud Services,no,Management,hard worker,yes,no,Software Engineer
8,5,4,1,yes,yes,app development,game development,excellent,poor,networks,cloud computing,Web Services,yes,Management,hard worker,yes,yes,Software Engineer
3,2,3,8,yes,no,full stack,system designing,medium,excellent,hacking,testing,product development,yes,Management,smart worker,yes,yes,Software Engineer
1,0,6,9,no,yes,app development,web technologies,excellent,poor,cloud computing,cloud computing,product development,no,Technical,hard worker,yes,yes,Software Engineer
1,3,1,3,no,no,r programming,hacking,poor,poor,Management,cloud computing,Service Based,no,Technical,smart worker,no,yes,Software Engineer
5,5,4,3,yes,no,r programming,hacking,excellent,medium,cloud computing,developer,product development,no,Technical,smart worker,yes,yes,Software Engineer
8,1,3,1,yes,yes,shell programming,game development,poor,medium,programming,Business process analyst,SAaS services,no,Technical,hard worker,no,no,Software Engineer
8,3,3,9,yes,no,full stack,database security,excellent,poor,Software Engineering,system developer,BPA,no,Management,hard worker,yes,no,Software Engineer
1,1,3,2,yes,no,information security,hacking,medium,excellent,networks,cloud computing,Cloud Services,yes,Management,smart worker,no,no,Software Engineer
6,4,7,3,yes,no,distro making,game development,excellent,excellent,hacking,developer,Testing and Maintainance Services,no,Technical,smart worker,yes,yes,Software Engineer
5,2,6,5,yes,no,information security,testing,poor,excellent,networks,security,Product based,no,Management,smart worker,no,no,Software Engineer
1,3,1,2,no,yes,information security,database security,excellent,excellent,hacking,system developer,Testing and Maintainance Services,no,Management,hard worker,yes,yes,Software Engineer
1,3,8,9,yes,yes,full stack,database security,poor,excellent,Computer Architecture,security,Web Services,yes,Technical,smart worker,no,no,Software Engineer
2,6,6,1,no,no,app development,system designing,medium,excellent,programming,security,Web Services,yes,Technical,smart worker,yes,yes,Software Engineer
7,2,2,5,yes,yes,distro making,database security,poor,medium,IOT,system developer,product development,no,Technical,smart worker,yes,yes,Software Engineer
7,6,1,5,no,yes,full stack,hacking,poor,medium,data engineering,cloud computing,BPA,no,Management,smart worker,yes,no,Software Engineer
9,2,1,6,yes,yes,information security,web technologies,medium,excellent,cloud computing,cloud computing,product development,no,Management,smart worker,no,yes,Software Engineer
7,4,5,7,no,yes,shell programming,game development,medium,poor,parallel computing,cloud computing,Sales and Marketing,no,Technical,smart worker,yes,yes,Software Engineer
1,6,6,1,no,yes,information security,hacking,medium,poor,IOT,testing,Web Services,yes,Technical,smart worker,no,yes,Software Engineer
2,6,7,7,yes,yes,python,system designing,poor,excellent,data engineering,testing,Finance,yes,Technical,smart worker,yes,no,Software Engineer
5,5,3,4,yes,yes,distro making,game development,medium,medium,data engineering,Business process analyst,product development,no,Management,hard worker,no,no,Software Engineer
1,5,4,4,yes,yes,machine learning,cloud computing,medium,poor,Computer Architecture,system developer,Product based,no,Management,hard worker,yes,no,Software Engineer
2,3,8,5,yes,yes,hadoop,game development,excellent,medium,data engineering,developer,Sales and Marketing,no,Technical,hard worker,yes,no,Software Engineer
1,2,5,9,no,yes,shell programming,game development,medium,excellent,parallel computing,cloud computing,Service Based,yes,Technical,smart worker,no,yes,Software Engineer
3,5,3,7,no,no,python,cloud computing,excellent,medium,cloud computing,testing,SAaS services,no,Technical,smart worker,no,no,Software Engineer
3,6,5,8,yes,yes,distro making,cloud computing,poor,poor,parallel computing,security,BPA,no,Management,smart worker,no,yes,Software Engineer
6,2,9,9,no,yes,r programming,hacking,poor,medium,parallel computing,security,Cloud Services,no,Technical,smart worker,no,no,Software Engineer
3,4,1,9,yes,yes,r programming,database security,poor,excellent,data engineering,cloud computing,BPA,no,Management,hard worker,yes,yes,Software Engineer
3,4,1,7,yes,yes,information security,data science,poor,medium,Computer Architecture,Business process analyst,BPA,no,Management,hard worker,no,yes,Software Engineer
5,6,5,4,yes,yes,hadoop,system designing,poor,poor,hacking,cloud computing,Product based,no,Technical,hard worker,yes,no,Software Engineer
4,0,7,7,yes,yes,r programming,hacking,excellent,excellent,parallel computing,developer,Sales and Marketing,yes,Management,hard worker,yes,no,Software Engineer
6,3,5,5,yes,no,information security,game development,medium,excellent,programming,cloud computing,BPA,yes,Technical,smart worker,no,yes,Software Engineer
5,6,9,2,yes,yes,hadoop,testing,medium,excellent,cloud computing,Business process analyst,Testing and Maintainance Services,yes,Management,smart worker,yes,no,Software Engineer
4,5,8,5,yes,no,hadoop,hacking,medium,medium,data engineering,security,Testing and Maintainance Services,no,Management,smart worker,no,yes,Software Engineer
9,5,8,2,no,yes,distro making,database security,poor,poor,Computer Architecture,developer,Product based,yes,Technical,smart worker,yes,no,Software Engineer
3,2,7,6,no,no,information security,testing,poor,medium,Software Engineering,developer,Service Based,no,Technical,smart worker,no,no,Software Engineer
8,5,6,3,no,no,r programming,testing,excellent,poor,parallel computing,cloud computing,Finance,yes,Technical,smart worker,yes,no,Software Engineer
9,1,1,6,no,no,machine learning,system designing,medium,medium,Computer Architecture,Business process analyst,Testing and Maintainance Services,yes,Technical,hard worker,no,no,Software Engineer
7,1,1,7,no,no,hadoop,database security,poor,medium,parallel computing,cloud computing,Product based,yes,Management,smart worker,no,no,Software Engineer
7,5,3,9,no,yes,python,game development,medium,poor,Management,security,product development,yes,Technical,smart worker,no,yes,Software Engineer
4,3,1,3,yes,no,r programming,web technologies,excellent,excellent,networks,cloud computing,Finance,yes,Technical,hard worker,no,no,Software Engineer
3,4,1,3,no,yes,information security,hacking,excellent,excellent,parallel computing,developer,Testing and Maintainance Services,yes,Management,smart worker,no,yes,Software Quality Assurance (QA) / Testing
6,3,4,3,no,yes,python,cloud computing,excellent,poor,programming,testing,SAaS services,yes,Technical,hard worker,yes,no,Software Quality Assurance (QA) / Testing
9,3,1,9,yes,yes,python,hacking,poor,poor,cloud computing,developer,SAaS services,no,Technical,hard worker,no,no,Software Quality Assurance (QA) / Testing
3,0,5,1,no,no,hadoop,system designing,excellent,poor,data engineering,Business process analyst,Sales and Marketing,no,Technical,hard worker,yes,yes,Software Quality Assurance (QA) / Testing
8,5,5,2,no,yes,full stack,game development,medium,excellent,hacking,testing,Product based,no,Technical,hard worker,yes,no,Software Quality Assurance (QA) / Testing
8,2,5,5,yes,yes,full stack,testing,excellent,poor,Software Engineering,security,Testing and Maintainance Services,no,Management,smart worker,yes,no,Software Quality Assurance (QA) / Testing
2,6,6,9,yes,no,full stack,database security,medium,excellent,Management,testing,Cloud Services,no,Technical,hard worker,yes,yes,Software Quality Assurance (QA) / Testing
1,2,1,3,no,no,app development,web technologies,excellent,medium,programming,Business process analyst,Cloud Services,yes,Technical,smart worker,no,no,Software Quality Assurance (QA) / Testing
2,2,4,9,no,yes,information security,testing,excellent,poor,data engineering,system developer,product development,yes,Management,hard worker,no,yes,Software Quality Assurance (QA) / Testing
8,4,3,8,yes,yes,information security,hacking,excellent,medium,programming,testing,Sales and Marketing,no,Technical,hard worker,no,no,Software Quality Assurance (QA) / Testing
6,5,3,7,yes,yes,r programming,database security,medium,medium,data engineering,testing,Product based,yes,Technical,hard worker,no,no,Software Quality Assurance (QA) / Testing
8,4,4,8,yes,yes,information security,system designing,excellent,excellent,data engineering,system developer,Finance,yes,Technical,hard worker,no,yes,Software Quality Assurance (QA) / Testing
7,2,4,7,yes,yes,distro making,system designing,poor,poor,IOT,Business process analyst,Finance,no,Technical,smart worker,no,yes,Software Quality Assurance (QA) / Testing
3,2,6,9,yes,no,hadoop,database security,excellent,excellent,cloud computing,testing,Sales and Marketing,no,Technical,hard worker,no,yes,Software Quality Assurance (QA) / Testing
2,0,3,7,no,no,full stack,data science,medium,poor,Computer Architecture,security,Sales and Marketing,yes,Technical,hard worker,no,yes,Software Quality Assurance (QA) / Testing
1,6,3,5,yes,yes,hadoop,hacking,poor,medium,Computer Architecture,testing,product development,yes,Technical,smart worker,yes,yes,Software Quality Assurance (QA) / Testing
5,5,6,4,yes,no,app development,game development,medium,medium,programming,system developer,SAaS services,no,Management,smart worker,yes,yes,Software Quality Assurance (QA) / Testing
6,5,4,6,no,no,information security,system designing,medium,excellent,Management,system developer,Sales and Marketing,yes,Management,smart worker,no,yes,Software Quality Assurance (QA) / Testing
6,1,4,5,yes,no,shell programming,game development,poor,medium,Management,Business process analyst,product development,no,Technical,smart worker,no,no,Software Quality Assurance (QA) / Testing
5,3,5,8,yes,no,python,system designing,excellent,medium,programming,security,product development,yes,Technical,hard worker,yes,no,Software Quality Assurance (QA) / Testing
7,1,8,4,no,yes,python,game development,medium,medium,Management,security,Service Based,no,Management,hard worker,yes,no,Software Quality Assurance (QA) / Testing
